City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Kavaratti,IN,82.0,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
22,Busselton,AU,89.01,clear sky,-33.65,115.3333,Observatory Guest House
27,Eydhafushi,MV,82.0,few clouds,5.1033,73.0708,Soneva Fushi
28,Pucallpa,PE,76.03,light rain,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
31,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
32,George Town,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
33,Weligama,LK,78.64,broken clouds,5.9667,80.4167,Weligama Bay Resort
51,Arraial Do Cabo,BR,75.33,clear sky,-22.9661,-42.0278,Pousada Porto Praia
57,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
58,Hithadhoo,MV,80.69,scattered clouds,-0.6,73.0833,Scoop Guest House
59,Luanda,AO,77.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
60,Dingle,PH,76.82,light rain,10.9995,122.6711,SEGAYA PROPERTY
61,Axim,GH,78.37,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
62,Bambous Virieux,MU,81.0,light rain,-20.3428,57.7575,Casa Tia Villa
69,Santa Rosa,PH,82.4,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
70,Quelimane,MZ,77.83,overcast clouds,-17.8786,36.8883,Hotel Flamingo
76,Lamu,KE,78.8,clear sky,-2.2717,40.902,Lamu House
79,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
81,Lethem,GY,78.62,broken clouds,3.3803,-59.7968,Savannah Inn
84,Kapoeta,SS,79.72,broken clouds,4.7717,33.5903,Eastgate Hotel
91,Carnarvon,AU,87.8,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
93,Monrovia,LR,75.2,mist,6.3005,-10.7969,Sunset Inn
95,Ratnagiri,IN,79.27,overcast clouds,16.9833,73.3,Hotel Landmark
98,Bosconia,CO,77.47,clear sky,9.9689,-73.8836,Hotel Jorlin
104,Grand Gaube,MU,81.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
116,Soyo,AO,78.24,overcast clouds,-6.1349,12.3689,Hotel Mpampa
119,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
121,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
123,San Miguel,SV,76.59,broken clouds,13.4833,-88.1833,Excalibur
124,Mananjary,MG,78.85,broken clouds,-21.2167,48.3333,Vahiny Lodge
126,Aquiraz,BR,82.4,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
127,Neuquen,AR,77.0,clear sky,-38.9516,-68.0591,Hotel del Comahue
135,Lagos,NG,77.34,broken clouds,6.5833,3.75,
139,Mitsamiouli,KM,81.25,overcast clouds,-11.3847,43.2844,Foyer ADM
140,Vila Velha,BR,77.0,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
144,Sao Joao Da Barra,BR,75.42,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
146,Xique-Xique,BR,77.65,broken clouds,-10.8218,-42.7263,Hotel J. Macedo
147,Cotonou,BJ,80.6,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
148,Srikakulam,IN,75.09,few clouds,18.3,83.9,Sriram residency
151,Charlestown,AU,88.0,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
165,Calabozo,VE,78.49,broken clouds,8.9242,-67.4293,Hotel Giardini
169,Jizan,SA,75.2,few clouds,17.3333,42.6667,شهدان. ابوالحجر
177,Sambava,MG,76.39,broken clouds,-14.2667,50.1667,Melrose
179,Bubaque,GW,78.3,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
182,Sinnamary,GF,77.58,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
199,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
