City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
519,High Rock,BS,26.6208,-78.2833,60.8,72,90,6.44,light rain
520,Zheleznodorozhnyy,RU,55.7503,38.0042,-9.4,77,0,4.47,clear sky
521,Sandnessjoen,NO,66.0217,12.6316,23.0,80,0,6.91,clear sky
522,Kidal,ML,18.4411,1.4078,62.67,27,0,14.47,clear sky
523,Koutsouras,GR,35.0339,25.9469,46.0,64,7,2.48,clear sky
524,Seredka,RU,58.1584,28.1858,17.6,86,88,2.24,light snow
525,Skjervoy,NO,70.0311,20.9714,35.01,93,100,14.18,snow
526,Mosetse,BW,-20.75,26.65,70.05,88,100,9.51,light rain
527,Yershichi,RU,53.6725,32.7542,-6.81,91,97,3.78,overcast clouds
528,Zaraza,VE,9.3503,-65.3245,73.83,80,72,7.7,broken clouds
529,Kalugumalai,IN,9.15,77.7167,80.6,78,20,4.61,haze
530,Kant,IN,27.8,79.8,56.08,71,0,3.71,clear sky
531,Grand-Lahou,CI,5.1367,-5.0242,78.58,85,8,5.95,clear sky
532,Asilah,MA,35.465,-6.0348,46.4,100,72,3.44,broken clouds
533,Lichtenburg,ZA,-26.152,26.1597,65.14,87,4,14.29,clear sky
534,Camacupa,AO,-12.0167,17.4833,62.67,91,100,2.93,overcast clouds
535,Bonanza,NI,14.0289,-84.591,70.02,97,100,2.77,overcast clouds
536,Ancud,CL,-41.8697,-73.8203,55.99,87,0,4.61,clear sky
537,Vigrestad,NO,58.5667,5.7,35.6,87,40,10.36,scattered clouds
538,Bagotville,AU,-28.9833,153.4167,82.4,69,94,18.41,light rain
539,Maldonado,UY,-34.6667,-54.9167,68.0,77,40,11.5,scattered clouds
540,Amapa,BR,1.0,-52.0,71.06,98,100,2.3,overcast clouds
541,Cockburn Town,TC,21.4612,-71.1419,78.08,80,99,14.07,overcast clouds
542,Svarstad,NO,59.399,9.9698,28.4,93,75,3.44,broken clouds
543,Sturgeon Falls,CA,46.3646,-79.9326,15.8,86,90,8.05,light snow
544,Plettenberg Bay,ZA,-34.0527,23.3716,64.2,87,15,6.76,few clouds
545,Ceuta,ES,35.8903,-5.3075,50.0,87,94,10.36,overcast clouds
546,Opuwo,NA,-18.0607,13.84,66.72,60,99,3.29,overcast clouds
547,Gambo,CF,4.6482,22.2633,66.07,60,71,0.4,broken clouds
548,Salinopolis,BR,-0.6136,-47.3561,79.45,84,99,9.71,overcast clouds
549,Annau,TM,37.8876,58.516,39.2,87,1,4.61,mist
550,Dapaong,TG,10.8639,0.205,69.42,22,84,7.09,broken clouds
551,Clarence Town,AU,-32.5833,151.7833,80.6,47,100,4.61,overcast clouds
552,Melioratorov,RU,57.2107,65.6077,-7.6,84,0,4.47,clear sky
553,Bundi,IN,25.4417,75.6417,61.3,42,0,5.48,clear sky
554,Awjilah,LY,29.1081,21.2869,47.39,85,0,6.62,clear sky
555,Khorixas,NA,-20.3667,14.9667,68.81,58,99,5.66,overcast clouds
556,Piranhas,BR,-16.4269,-51.8222,72.48,90,100,1.61,overcast clouds
557,Zapadnaya Dvina,RU,56.259,32.0745,-1.66,93,46,2.37,scattered clouds
558,Mecca,SA,21.4267,39.8261,65.7,54,3,7.9,clear sky
559,Caraballeda,VE,10.6112,-66.8522,77.0,88,40,3.44,scattered clouds
560,Mustasaari,FI,63.1142,21.6822,28.4,86,90,10.36,overcast clouds
561,Nicosia,CY,35.1667,33.3667,46.4,81,40,10.36,scattered clouds
562,Chambersburg,US,39.9376,-77.6611,39.0,70,72,1.99,broken clouds
563,Rumphi,MW,-11.0186,33.8575,63.66,85,100,1.9,overcast clouds
564,Tahta,EG,26.7693,31.5021,50.0,50,0,6.91,clear sky
565,Gisenyi,RW,-1.7028,29.2564,61.65,78,81,3.38,broken clouds
566,Constantine,DZ,36.365,6.6147,39.2,60,0,3.44,clear sky
567,Tundla,IN,27.2,78.2833,56.26,58,89,5.39,overcast clouds
568,Harqalah,TN,36.0303,10.509,55.4,37,0,4.61,clear sky
569,Mosquera,CO,4.7059,-74.2302,53.6,94,20,4.61,few clouds
570,Damietta,EG,31.4165,31.8133,51.8,87,0,16.11,clear sky
571,Pitimbu,BR,-7.4706,-34.8086,77.0,83,0,6.91,clear sky
572,Bocas Del Toro,PA,9.3333,-82.25,77.14,79,72,7.54,broken clouds
573,Erdemli,TR,36.605,34.3084,49.15,47,100,9.19,overcast clouds
574,Karera,IN,25.4667,78.15,59.77,45,17,7.18,few clouds
575,Kedrovyy,RU,56.1667,91.8167,19.4,63,0,6.71,clear sky
576,Sundsvall,SE,62.3913,17.3063,8.01,85,4,4.61,clear sky
577,Gazojak,TM,41.1875,61.4036,40.44,67,100,4.76,overcast clouds
578,Issenye,TZ,-2.0,34.3333,61.09,95,100,3.49,light rain
579,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.27,88,100,1.79,overcast clouds
580,Maun,BW,-19.9833,23.4167,68.0,100,40,6.91,light rain
581,Buy,RU,58.4786,41.53,-2.76,92,98,5.1,overcast clouds
582,Velikiy Ustyug,RU,60.7644,46.3106,1.69,93,100,6.78,snow
583,Eyl,SO,7.9803,49.8164,71.01,73,11,9.91,few clouds
584,Banepa,NP,27.6298,85.5214,46.4,87,20,1.23,mist
585,Joshimath,IN,30.5667,79.5667,49.12,35,0,3.06,clear sky
586,Surt,LY,31.2089,16.5887,53.6,69,0,18.37,clear sky
587,Oktyabrskiy,RU,54.4815,53.471,-12.59,89,26,1.74,scattered clouds
588,Teguldet,RU,57.3064,88.1667,17.4,96,100,13.31,light snow
589,Lipin Bor,RU,60.2622,37.9763,10.65,96,99,6.42,overcast clouds
590,Kaffrine,SN,14.1059,-15.5508,70.34,19,70,11.81,broken clouds
591,Bousso,TD,10.4795,16.7117,69.12,21,91,8.08,overcast clouds
592,Chinhoyi,ZW,-17.3667,30.2,67.19,91,100,2.26,light rain
593,Saravena,CO,6.9538,-71.8752,72.52,70,11,2.39,few clouds
594,Grado,ES,43.388,-6.0743,50.0,100,90,3.74,mist
595,Amboise,FR,47.4125,0.9827,35.6,93,0,3.44,clear sky
596,Imbituba,BR,-28.24,-48.6703,77.0,94,40,4.61,scattered clouds
597,Praia,CV,14.9215,-23.5087,69.8,78,19,17.27,few clouds
598,Nador,MA,35.174,-2.9287,50.0,71,0,4.61,clear sky
599,Keuruu,FI,62.2667,24.7,19.4,93,0,5.75,clear sky
600,Termoli,IT,41.9888,14.9895,34.0,97,97,11.97,overcast clouds
601,Bournemouth,GB,50.7205,-1.8795,43.0,94,19,9.78,few clouds
602,Chiredzi,ZW,-21.05,31.6667,72.12,97,100,6.71,moderate rain
603,Virarajendrapet,IN,12.2,75.8,65.95,79,76,4.9,light rain
604,Upata,VE,8.0086,-62.3989,78.01,83,76,4.0,broken clouds
605,Kuchera,IN,26.9839,73.9719,58.66,48,0,9.26,clear sky
606,Darab,IR,28.7519,54.5444,48.61,56,0,3.98,clear sky
607,Polis,CY,35.0367,32.4264,51.8,66,75,19.57,broken clouds
608,Pozo Colorado,PY,-23.4923,-58.7972,66.47,64,99,6.33,overcast clouds
609,Lerwick,GB,60.1545,-1.1494,42.8,70,40,25.32,scattered clouds
610,Kondinskoye,RU,59.6481,67.41,-14.26,89,75,9.93,broken clouds
611,Beyneu,KZ,45.3167,55.2,32.09,97,0,13.42,clear sky
612,Arrifes,PT,37.7667,-25.7,61.0,94,40,21.85,light rain
613,De Panne,BE,51.0792,2.5917,41.0,93,46,6.91,scattered clouds
614,Ciudad Real,ES,39.0,-4.0,33.01,76,94,1.99,overcast clouds
615,Kapchorwa,UG,1.3965,34.4509,57.92,71,100,3.4,overcast clouds
616,Lazurne,UA,46.084,32.5295,-0.4,85,40,6.71,scattered clouds
617,Cacador,BR,-26.7753,-51.015,65.88,95,100,3.18,overcast clouds
618,Ciudad Bolivar,VE,8.1222,-63.5497,77.94,70,100,12.93,overcast clouds
619,Doha,QA,25.2867,51.5333,68.0,56,0,6.91,clear sky
620,Prieska,ZA,-29.6641,22.7474,74.82,27,0,2.28,clear sky
621,Arti,RU,56.4234,58.5328,-12.23,89,100,3.78,overcast clouds
622,Oxford,GB,51.7522,-1.256,37.99,93,75,6.91,broken clouds
623,Bar Harbor,US,44.3876,-68.2039,37.0,64,20,11.5,few clouds
624,Pratapgarh,IN,24.0333,74.7833,68.4,59,0,4.9,clear sky
625,Malanville,BJ,11.8685,3.3899,68.61,22,26,6.51,scattered clouds
626,Lapua,FI,62.9693,23.0088,25.0,94,100,3.0,overcast clouds
627,Aliwal North,ZA,-30.6937,26.7114,58.91,74,0,5.5,clear sky
628,Escanaba,US,45.7453,-87.0646,26.6,80,90,5.75,overcast clouds
629,San Carlos De Bariloche,AR,-41.1456,-71.3082,60.8,55,0,9.22,clear sky
630,Mahibadhoo,MV,3.7833,72.9667,81.68,74,8,10.27,clear sky
631,Mangai,CD,-4.05,19.5333,68.18,95,58,1.03,light rain
632,Kynsperk Nad Ohri,CZ,50.1189,12.5303,26.01,95,100,1.01,light snow
633,Camacha,PT,33.0833,-16.3333,57.2,67,75,2.3,broken clouds
634,Sassandra,CI,4.95,-6.0833,76.91,88,13,3.49,few clouds
635,Hearst,CA,49.6835,-83.6665,-7.6,77,0,2.3,clear sky
636,Santa Cruz,BO,-17.8,-63.1667,69.8,83,75,11.5,broken clouds
637,Dongobesh,TZ,-4.0667,35.3833,55.74,97,89,1.61,moderate rain
638,Storforshei,NO,66.4043,14.5233,8.01,84,18,5.01,few clouds
639,Loandjili,CG,-4.7561,11.8578,77.54,84,87,5.06,overcast clouds
640,Chokwe,MZ,-24.5333,32.9833,74.37,87,98,9.28,overcast clouds
641,Wattegama,LK,6.7989,81.4808,75.2,100,20,2.3,few clouds
642,Moshenskoye,RU,58.5102,34.5911,7.86,95,99,4.54,overcast clouds
643,Iskateley,RU,67.6803,53.1512,-12.73,90,88,4.81,overcast clouds
644,Buchanan,LR,5.8808,-10.0467,75.2,94,20,4.29,mist
645,Zruc Nad Sazavou,CZ,49.7401,15.1061,23.0,74,75,4.61,broken clouds
646,Port Blair,IN,11.6667,92.75,82.33,71,51,19.42,broken clouds
647,Jatai,BR,-17.8814,-51.7144,69.31,94,100,2.24,heavy intensity rain
648,Pierrelatte,FR,44.3776,4.702,41.0,70,0,25.32,clear sky
649,Mehamn,NO,71.0357,27.8492,33.06,93,100,14.41,light snow
650,Savinka,RU,50.0785,47.0994,4.06,93,100,11.43,overcast clouds
651,Catamarca,AR,-28.4696,-65.7852,60.01,86,0,1.99,clear sky
652,Ornskoldsvik,SE,63.2909,18.7153,-5.8,92,16,3.44,few clouds
653,Sao Francisco,BR,-15.9486,-44.8644,68.38,83,100,2.8,overcast clouds
654,Lisakovsk,KZ,52.5369,62.4936,-7.73,88,0,4.9,clear sky
655,Abrau-Dyurso,RU,44.69,37.59,27.0,80,98,15.66,overcast clouds
656,Phalia,PK,32.4297,73.5775,46.94,70,0,3.6,clear sky
657,Gubkinskiy,RU,64.434,76.5026,-13.65,89,94,10.8,overcast clouds
658,Kamyshlov,RU,56.8428,62.7111,-3.35,89,0,8.99,clear sky
659,Cap Malheureux,MU,-19.9842,57.6142,81.0,74,64,11.99,broken clouds
660,Kandi,BJ,11.1342,2.9386,68.13,23,62,4.81,broken clouds
661,Cabedelo,BR,-6.9811,-34.8339,77.0,83,0,6.91,clear sky
662,Lochgilphead,GB,56.038,-5.4321,44.6,87,90,17.27,overcast clouds
663,Staryy Nadym,RU,65.6118,72.6842,-14.8,88,100,12.39,overcast clouds
664,Tyukalinsk,RU,55.8732,72.1967,0.39,92,100,14.47,overcast clouds
665,Tromso,NO,69.6496,18.957,32.0,86,75,16.11,broken clouds
666,Nueva Guinea,NI,11.6876,-84.4562,69.35,96,33,5.64,scattered clouds
667,Nushki,PK,29.5542,66.0215,49.96,37,0,4.16,clear sky
668,Cozumel,MX,20.5083,-86.9458,64.99,94,90,5.75,light rain
669,Kalavad,IN,22.2167,70.3833,60.8,67,0,4.61,haze
670,Pobe,BJ,6.9801,2.6649,75.15,92,12,3.8,few clouds
671,Puerto Del Rosario,ES,28.5004,-13.8627,62.6,72,75,8.05,broken clouds
672,Kunszentmiklos,HU,47.027,19.1258,19.0,92,20,2.3,mist
673,Farah,AF,32.5,62.5,43.65,48,31,2.08,scattered clouds
674,Pombia,IT,45.653,8.6336,30.0,93,40,5.75,mist
675,Nata,PA,8.3333,-80.5167,75.99,47,0,6.73,clear sky
676,Edea,CM,3.8,10.1333,78.8,100,40,2.3,light rain
677,Semey,KZ,50.4111,80.2275,8.6,78,0,11.18,clear sky
678,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,77.0,94,40,4.61,scattered clouds
679,Abyek,IR,36.0667,50.55,35.6,64,18,4.61,few clouds
680,Lardos,GR,36.0942,28.0157,46.0,87,40,10.36,scattered clouds
681,Tangara,BR,-6.1994,-35.8017,78.8,78,20,5.75,few clouds
682,Sesimbra,PT,38.4445,-9.1015,48.0,44,5,4.0,clear sky
683,Cubuk,TR,40.2386,33.0322,23.0,93,75,2.3,light snow
684,Itarema,BR,-2.9248,-39.9167,79.2,79,100,10.89,light rain
685,Carbonia,IT,39.1672,8.5222,50.0,76,40,16.11,scattered clouds
686,Karabuk,TR,41.2049,32.6277,24.94,93,100,4.05,snow
687,Kikwit,CD,-5.041,18.8162,70.47,95,94,0.81,light rain
688,Sioux Lookout,CA,50.1001,-91.917,14.0,92,90,3.18,light snow
689,Caravelas,BR,-17.7125,-39.2481,73.53,88,0,3.62,clear sky
690,Bafra,TR,41.5678,35.9069,41.0,65,75,12.66,light rain
691,Casablanca,MA,33.5928,-7.6192,53.01,100,0,3.44,mist
692,Gidam,IN,18.9833,81.4,68.2,32,0,1.66,clear sky
693,Kadoma,JP,34.7333,135.5833,45.0,52,20,2.3,few clouds
694,Pasni,PK,25.2631,63.471,66.78,57,0,3.49,clear sky
695,Belyy Yar,RU,53.6039,91.3903,10.4,85,83,2.24,smoke
696,Oussouye,SN,12.485,-16.5469,71.4,20,100,7.72,overcast clouds
697,Yarmouth,US,41.7057,-70.2286,42.8,52,75,18.41,broken clouds
698,Kareli,IN,22.9167,79.0667,68.68,30,39,6.26,scattered clouds
699,Talara,PE,-4.5772,-81.2719,71.98,84,85,13.82,overcast clouds
700,Uvira,CD,-3.4067,29.1458,70.99,65,99,3.85,light rain
701,Lyngdal,NO,58.1376,7.07,35.01,88,97,3.0,overcast clouds
702,Khash,IR,28.2211,61.2158,42.28,76,0,2.42,clear sky
703,Taoudenni,ML,22.6783,-3.9836,54.3,39,100,15.64,overcast clouds
704,Bagn,NO,60.8225,9.5521,12.99,93,84,3.4,broken clouds
705,Yining,CN,29.0361,114.5636,51.39,42,0,1.16,clear sky
706,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,73.15,91,100,2.77,light rain
707,Rezina,MD,47.7492,28.9622,14.65,89,100,8.25,overcast clouds
708,Malinovoye Ozero,RU,51.6753,79.7825,17.15,94,96,8.48,overcast clouds
709,Karasburg,NA,-28.0167,18.75,67.91,37,0,7.07,clear sky
710,Sosva,RU,59.1766,61.8558,-6.75,89,0,5.35,clear sky
711,Champua,IN,22.0833,85.6667,63.73,55,0,0.67,clear sky
712,Campbellsville,US,37.3434,-85.3419,32.0,86,1,4.61,clear sky
713,Boende,CD,-0.2167,20.8667,67.73,92,41,1.68,scattered clouds
714,Emirdag,TR,39.0197,31.15,20.98,94,72,2.39,broken clouds
715,Fonte Boa,BR,-2.4959,-66.2662,74.64,96,99,2.44,overcast clouds
716,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,34.0,85,63,1.99,broken clouds
717,Pervomayskoye,RU,43.919,46.7102,33.82,91,100,10.11,overcast clouds
718,La Palma,US,33.8464,-118.0467,73.4,42,1,3.44,clear sky
719,Abapo,BO,-18.8333,-63.4667,62.31,82,100,2.73,heavy intensity rain
720,Mimoso Do Sul,BR,-21.0642,-41.3664,69.89,88,9,2.98,clear sky
721,Shenkursk,RU,62.1091,42.896,8.55,95,98,5.53,overcast clouds
722,San Andres,CO,12.5847,-81.7006,80.6,83,90,9.22,light rain
723,Sherbakul,RU,54.6316,72.3963,5.0,78,0,11.18,clear sky
724,Punta Cardon,VE,11.6581,-70.215,77.02,79,0,19.91,clear sky
725,Biltine,TD,14.5333,20.9167,63.59,24,0,13.06,clear sky
726,Puerto Madryn,AR,-42.7692,-65.0385,67.75,52,2,17.38,clear sky
