City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Ostrovnoy,RU,2021-01-17 02:25:20,68.0531,39.5131,30.79,98,100,7.14
59,Narsaq,GL,2021-01-17 02:25:13,60.9167,-46.05,19.4,49,90,4.61
60,Kavaratti,IN,2021-01-17 02:33:37,10.5669,72.642,81.54,76,0,7.56
61,Hermanus,ZA,2021-01-17 02:25:02,-34.4187,19.2345,57.0,94,0,5.46
62,Bambous Virieux,MU,2021-01-17 02:25:33,-20.3428,57.7575,79.0,83,40,8.05
63,Pampas,PE,2021-01-17 02:33:37,-12.4,-74.9,51.03,76,100,2.84
64,Arona,ES,2021-01-17 02:33:37,28.0996,-16.681,61.0,63,40,9.22
65,Longyearbyen,SJ,2021-01-17 02:25:21,78.2186,15.6401,21.2,79,75,6.91
66,Berlevag,NO,2021-01-17 02:25:20,70.8578,29.0864,34.25,90,100,19.46
67,Faya,SA,2021-01-17 02:33:38,18.3851,42.4509,51.8,71,0,10.36
68,Balgarovo,BG,2021-01-17 02:33:38,42.6214,27.3046,26.6,68,0,10.36
69,Vardo,NO,2021-01-17 02:25:08,70.3705,31.1107,34.7,87,99,20.02
70,Najran,SA,2021-01-17 02:33:39,17.4924,44.1277,51.8,40,0,3.15
71,Leh,IN,2021-01-17 02:26:06,34.1667,77.5833,8.78,52,0,1.74
72,Timra,SE,2021-01-17 02:26:20,62.487,17.3257,15.8,92,90,2.21
73,Methoni,GR,2021-01-17 02:33:39,36.8197,21.7049,42.01,87,59,2.3
74,Qorveh,IR,2021-01-17 02:33:39,35.1664,47.8045,32.4,89,77,5.64
75,Victoria,HK,2021-01-17 02:30:37,22.2855,114.1577,62.01,54,47,17.52
76,Roald,NO,2021-01-17 02:33:40,62.5833,6.1333,35.6,51,85,16.11
77,Ejido,VE,2021-01-17 02:25:59,8.5514,-71.2375,67.73,68,91,2.59
78,Mahebourg,MU,2021-01-17 02:33:40,-20.4081,57.7,78.8,83,40,8.05
79,Touros,BR,2021-01-17 02:25:49,-5.1989,-35.4608,78.8,69,40,8.05
80,Cape Town,ZA,2021-01-17 02:25:07,-33.9258,18.4232,64.0,88,0,8.05
81,Ribeira Grande,PT,2021-01-17 02:25:17,38.5167,-28.7,62.67,93,100,26.62
82,Hithadhoo,MV,2021-01-17 02:24:27,-0.6,73.0833,81.1,75,100,12.24
83,Goderich,CA,2021-01-17 02:33:42,43.7501,-81.7165,32.0,86,98,11.5
84,Tasiilaq,GL,2021-01-17 02:25:06,65.6145,-37.6368,30.2,93,75,3.44
85,Aksu,CN,2021-01-17 02:25:18,41.1231,80.2644,10.18,87,0,2.06
86,Saldanha,ZA,2021-01-17 02:25:00,-33.0117,17.9442,59.0,88,0,1.14
87,Kudahuvadhoo,MV,2021-01-17 02:26:41,2.6708,72.8944,81.68,69,91,9.28
88,Kutum,SD,2021-01-17 02:26:59,14.2,24.6667,50.36,40,0,5.35
89,Clyde River,CA,2021-01-17 02:25:08,70.4692,-68.5914,3.2,92,90,28.77
